station,mta_id,location
42 St - Bryant Park - (ID: 79),EL294X,SW Corner of 42nd & 6th
Queens Plaza - (ID: 84),EL430,MEZZANINE TO UPTOWN
179 St - Jamaica - (ID: 4),EL432,MEZZANINE TO PLATFORM
Gun Hill Rd - (ID: 92),EL183,STREET TO MEZZANINE AND DOWNTOWN PLATFORM
66 St - Lincoln Center - (ID: 98),EL238,STREET TO MEZZANINE AND DOWNTOWN PLATFORM
Howard Beach - (ID: 82),EL493X,MEZZANINE TO DOWNTOWN
Forest Hills - 71 Av - (ID: 69),EL438,MEZZANINE TO SOUTHBOUND PLATFORM
231 St - (ID: 97),EL185,STREET TO MEZZANINE & UPTOWN PLATFORM
Aqueduct Racetrack - (ID: 100),EL489X,STREET TO PLATFORM
Jamaica Center Parsons/Archer - (ID: 30),EL412,STREET TO MEZZANINE
Fordham Rd - (ID: 96),EL186,STREET TO MEZZANINE
50 St - (ID: 99),EL208X,PLAZA TO DOWNTOWN PLATFORMS
Jay St - Metrotech - (ID: 16),EL327X,STREET TO MEZZANINE
Far Rockaway - Mott Av - (ID: 67),EL497,STREET TO PLATFORM
Dekalb Av - (ID: 12),EL370,STREET TO MEZZANINE
42 St - Bryant Park - (ID: 79),EL287X,STREET TO MEZZANINE
59 St - Columbus Cir - (ID: 29),EL278,MEZZANINE AND UPTOWN
66 St - Lincoln Center - (ID: 98),EL237,STREET TO MEZZANINE & UPTOWN PLATFORM
Ozone Park / Lefferts Blvd - (ID: 83),EL463,MEZZANINE TO PLATFORM
Jackson Hts - Roosevelt Av - (ID: 14),EL422,LOWER MEZZANINE TO UPTOWN E/F/M/R PLATFORM
Chambers St - (ID: 41),EL338,MEZZANINE TO DOWNTOWN
231 St - (ID: 97),EL184,STREET TO MEZZANINE AND DOWNTOWN PLATFORM
Atlantic Av-Barclays Ctr - (ID: 9),EL300X,STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND
Utica Av - (ID: 77),EL346,SOUTHBOUND PLATFORM TO MEZZANINE
34 St - Penn - (ID: 53),EL228,MEZZANINE TO DOWNTOWN LOCAL PLATFORM
Kingsbridge Road - (ID: 72),EL191,MEZZANINE TO SOUTHBOUND PLATFORM
Kings Highway - (ID: 35),EL761,STREET TO DOWNTOWN PLATFORM
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL450X,STREET TO TA MEZZANINE AND LIRR OVERPASS
Fordham Rd - (ID: 96),EL188,MEZZANINE TO DOWNTOWN
Church Av - (ID: 74),EL373,STREET TO MEZZANINE
161 St - Yankee Stadium - (ID: 3),EL135,"MEZZANINE TO UPTOWN B, D"
Fordham Rd - (ID: 96),EL187,MEZZANINE TO UPTOWN
42 St - Port Authority Bus Terminal - (ID: 56),EL288X,BUS TERMINAL TO LOWER MEZZANINE
Church Av - (ID: 74),EL375,MEZZANINE TO DOWNTOWN
72 St / 2 Av - (ID: 62),EL262,LOWER MEZZANINE TO STREET
Dyckman St - (ID: 95),EL178,STREET TO DOWNTOWN PLATFORM
34 St - Hudson Yards - (ID: 52),EL601,LOWER MEZZANINE TO UPPER MEZZANINE
Fulton St - (ID: 13),EL732,PLATFORM TO MEZZANINE
