elevator,reason,out_of_service,first_missed,estimated_return
EL107,Under Investigation,2018-02-21 03:30:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 05:00:00+00:00
EL229,Inspection,2018-02-21 05:08:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL414,Maintenance,2018-02-21 04:55:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL202,Maintenance,2018-02-21 04:55:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL180,Maintenance,2018-02-21 04:45:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL232,Maintenance,2018-02-21 04:28:00+00:00,2018-02-21 05:14:02.599635+00:00,2018-02-21 11:00:00+00:00
EL706,Maintenance,2018-02-21 04:23:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL409,Maintenance,2018-02-21 04:05:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL408,Cleaning,2018-02-21 04:15:00+00:00,2018-02-21 05:15:19.689911+00:00,2018-02-21 11:00:00+00:00
EL721,Maintenance,2018-02-21 04:20:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL371,Maintenance,2018-02-21 04:10:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL214,Inspection,2018-02-21 04:40:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL131,Maintenance,2018-02-21 04:24:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL144,Maintenance,2018-02-21 04:21:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-21 11:00:00+00:00
EL125,Maintenance,2018-02-21 16:00:00+00:00,2018-02-21 19:35:06.815883+00:00,2018-02-21 19:00:00+00:00
EL413,Maintenance,2018-02-21 16:00:00+00:00,2018-02-22 01:12:06.975592+00:00,2018-02-21 20:00:00+00:00
EL320,Repair,2018-02-21 14:55:00+00:00,2018-02-21 16:03:04.170229+00:00,2018-02-21 20:00:00+00:00
EL216,Repair,2018-02-21 15:01:00+00:00,2018-02-21 15:44:58.722072+00:00,2018-02-21 20:00:00+00:00
EL133,Repair,2018-02-21 14:05:00+00:00,2018-02-21 20:09:08.105101+00:00,2018-02-21 20:00:00+00:00
EL321,Repair,2018-02-21 16:20:00+00:00,2018-02-21 16:48:05.858172+00:00,2018-02-21 21:00:00+00:00
EL716,Maintenance,2018-02-21 14:30:00+00:00,2018-02-21 22:27:08.287241+00:00,2018-02-21 21:00:00+00:00
EL309,Repair,2018-02-14 03:13:00+00:00,2018-02-22 10:27:07.634909+00:00,2018-02-21 21:00:00+00:00
EL319,Repair,2018-02-21 22:55:00+00:00,2018-02-22 14:04:07.114026+00:00,2018-02-22 03:00:00+00:00
EL217,Repair,2018-02-21 20:20:00+00:00,2018-02-21 23:35:08.100231+00:00,2018-02-22 03:00:00+00:00
EL127,Maintenance,2018-02-21 20:40:00+00:00,2018-02-21 23:46:08.772646+00:00,2018-02-22 04:00:00+00:00
EL443,Repair,2018-02-20 22:40:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-22 05:00:00+00:00
EL420,Under Investigation,2018-02-21 03:15:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-22 05:00:00+00:00
EL279X,Repair,2018-02-20 06:30:00+00:00,2018-02-22 20:32:07.198438+00:00,2018-02-22 07:00:00+00:00
EL125,Maintenance,2018-02-22 05:02:00+00:00,2018-02-22 10:17:07.373753+00:00,2018-02-22 11:00:00+00:00
EL244,Maintenance,2018-02-22 04:21:00+00:00,2018-02-22 10:07:08.850033+00:00,2018-02-22 11:00:00+00:00
EL120,Inspection,2018-02-22 05:40:00+00:00,2018-02-22 09:04:08.681764+00:00,2018-02-22 11:00:00+00:00
EL236,Maintenance,2018-02-22 07:55:00+00:00,2018-02-22 10:13:08.129814+00:00,2018-02-22 11:00:00+00:00
EL443,Maintenance,2018-02-22 07:20:00+00:00,2018-02-22 09:49:07.664767+00:00,2018-02-22 11:00:00+00:00
EL204,Maintenance,2018-02-22 07:05:00+00:00,2018-02-22 10:13:08.129814+00:00,2018-02-22 11:00:00+00:00
EL146,Access Improvements,2018-02-22 07:05:00+00:00,2018-02-22 09:53:08.053699+00:00,2018-02-22 11:00:00+00:00
EL401,Maintenance,2018-02-22 07:00:00+00:00,2018-02-22 09:44:07.469990+00:00,2018-02-22 11:00:00+00:00
EL111,Maintenance,2018-02-22 06:22:00+00:00,2018-02-22 10:43:09.113064+00:00,2018-02-22 11:00:00+00:00
EL414,Maintenance,2018-02-22 05:05:00+00:00,2018-02-22 10:13:08.129814+00:00,2018-02-22 11:00:00+00:00
EL129,Maintenance,2018-02-22 05:01:00+00:00,2018-02-22 09:16:07.878291+00:00,2018-02-22 11:00:00+00:00
EL125,Maintenance,2018-02-21 05:02:00+00:00,2018-02-22 10:16:08.268146+00:00,2018-02-22 11:00:00+00:00
EL194,Maintenance,2018-02-22 05:05:00+00:00,2018-02-22 10:31:07.643266+00:00,2018-02-22 11:00:00+00:00
EL240,Inspection,2018-02-22 04:50:00+00:00,2018-02-22 09:22:08.191840+00:00,2018-02-22 11:00:00+00:00
EL202,Maintenance,2018-02-22 04:49:00+00:00,2018-02-22 10:15:07.078126+00:00,2018-02-22 11:00:00+00:00
EL442,Maintenance,2018-02-22 04:45:00+00:00,2018-02-22 07:19:06.325938+00:00,2018-02-22 11:00:00+00:00
EL420,Maintenance,2018-02-22 04:45:00+00:00,2018-02-22 09:47:08.177300+00:00,2018-02-22 11:00:00+00:00
EL145,Access Improvements,2018-02-22 04:35:00+00:00,2018-02-22 07:06:07.454326+00:00,2018-02-22 11:00:00+00:00
EL213,Maintenance,2018-02-22 04:32:00+00:00,2018-02-22 06:56:08.504472+00:00,2018-02-22 11:00:00+00:00
EL721,Maintenance,2018-02-22 04:20:00+00:00,2018-02-22 09:58:08.394016+00:00,2018-02-22 11:00:00+00:00
EL408,Maintenance,2018-02-22 04:08:00+00:00,2018-02-22 10:35:07.667891+00:00,2018-02-22 11:00:00+00:00
EL336,Inspection,2018-02-22 04:05:00+00:00,2018-02-22 09:37:08.011279+00:00,2018-02-22 11:00:00+00:00
EL222,Repair,2018-02-20 16:45:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-22 17:00:00+00:00
EL402,Access Improvements,2018-02-22 15:31:00+00:00,2018-02-22 17:58:09.067708+00:00,2018-02-22 19:00:00+00:00
