elevator,reason,out_of_service,first_missed,estimated_return
EL395,Under Investigation,2018-04-02 22:23:00+00:00,,2018-04-03 07:00:00+00:00
EL119,Under Investigation,2018-04-02 22:41:00+00:00,,2018-04-03 02:00:00+00:00
EL319,Repair,2018-04-02 13:12:00+00:00,,2018-04-02 22:00:00+00:00
EL372,Under Investigation,2018-04-02 20:27:00+00:00,,2018-04-03 05:00:00+00:00
EL311,Repair,2018-04-02 12:10:00+00:00,,2018-04-03 04:00:00+00:00
EL125,Under Investigation,2018-04-02 19:52:00+00:00,2018-04-03 00:06:09.148354+00:00,2018-04-03 04:00:00+00:00
EL438,Under Investigation,2018-04-02 00:50:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 09:00:00+00:00
EL145,Under Investigation,2018-04-02 00:28:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 09:00:00+00:00
EL303,Under Investigation,2018-04-02 00:31:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 08:00:00+00:00
EL107,Under Investigation,2018-04-01 23:43:00+00:00,2018-04-02 01:34:10.246970+00:00,2018-04-02 07:00:00+00:00
EL143,Under Investigation,2018-04-01 23:20:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 08:00:00+00:00
EL340,Under Investigation,2018-04-01 22:37:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 07:00:00+00:00
EL701,Under Investigation,2018-04-01 21:42:00+00:00,2018-04-02 00:50:07.986550+00:00,2018-04-02 06:00:00+00:00
EL719,Under Investigation,2018-04-01 21:46:00+00:00,2018-04-02 00:54:07.660407+00:00,2018-04-02 06:00:00+00:00
EL104,Under Investigation,2018-04-01 20:45:00+00:00,2018-04-01 23:34:10.590355+00:00,2018-04-02 05:00:00+00:00
EL425,Under Investigation,2018-04-01 20:48:00+00:00,2018-04-01 22:53:10.886147+00:00,2018-04-02 05:00:00+00:00
EL206,Under Investigation,2018-04-01 20:27:00+00:00,2018-04-01 23:41:09.626297+00:00,2018-04-02 05:00:00+00:00
EL450X,Under Investigation,2018-04-01 20:33:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-04-02 05:00:00+00:00
EL244,Under Investigation,2018-04-01 20:01:00+00:00,2018-04-02 01:55:09.863628+00:00,2018-04-02 05:00:00+00:00
EL122,Under Investigation,2018-04-01 19:33:00+00:00,2018-04-02 01:40:08.748412+00:00,2018-04-02 04:00:00+00:00
EL109,Under Investigation,2018-04-01 18:14:00+00:00,2018-04-01 20:35:10.123496+00:00,2018-04-02 03:00:00+00:00
EL206,Under Investigation,2018-04-01 18:10:00+00:00,2018-04-01 19:17:09.082108+00:00,2018-04-02 03:00:00+00:00
EL146,Under Investigation,2018-04-01 16:55:00+00:00,2018-04-01 19:53:09.087082+00:00,2018-04-02 01:00:00+00:00
EL298,Under Investigation,2018-04-01 16:49:00+00:00,2018-04-01 22:55:09.389870+00:00,2018-04-02 01:00:00+00:00
EL191,Under Investigation,2018-04-01 16:29:00+00:00,2018-04-01 21:33:11.231146+00:00,2018-04-02 01:00:00+00:00
EL123,Under Investigation,2018-04-01 16:14:00+00:00,2018-04-01 21:53:10.592047+00:00,2018-04-02 01:00:00+00:00
EL303,Under Investigation,2018-04-01 15:11:00+00:00,2018-04-01 17:22:09.549532+00:00,2018-04-02 00:00:00+00:00
EL391,Repair,2018-04-01 15:00:00+00:00,2018-04-01 16:03:09.891242+00:00,2018-04-01 19:00:00+00:00
EL120,Under Investigation,2018-04-01 14:50:00+00:00,2018-04-01 16:35:09.150552+00:00,2018-04-01 23:00:00+00:00
EL440,Repair,2018-04-01 13:54:00+00:00,2018-04-01 18:23:10.236882+00:00,2018-04-01 20:00:00+00:00
EL425,Under Investigation,2018-04-01 11:59:00+00:00,2018-04-01 16:55:08.722310+00:00,2018-04-01 20:00:00+00:00
EL450X,Repair,2018-04-01 09:45:00+00:00,2018-04-01 19:22:09.186071+00:00,2018-04-01 18:00:00+00:00
EL210,Maintenance,2018-04-01 07:15:00+00:00,2018-04-01 09:15:09.890918+00:00,2018-04-01 10:00:00+00:00
EL218,Under Investigation,2018-04-01 08:52:00+00:00,2018-04-01 17:50:07.902619+00:00,2018-04-01 17:00:00+00:00
