station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
Flushing Av - (ID: 26),EL395,MEZZANINE TO UPTOWN,2018-04-02T22:23:00.000Z,,2018-04-03T07:00:00.000Z,0
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET,2018-04-02T22:41:00.000Z,,2018-04-03T02:00:00.000Z,0
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS,2018-04-02T13:12:00.000Z,,2018-04-02T22:00:00.000Z,0
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN,2018-04-02T20:27:00.000Z,,2018-04-03T05:00:00.000Z,0
Clark St - (ID: 10),EL311,LOWER MEZZANINE TO STREET,2018-04-02T12:10:00.000Z,,2018-04-03T04:00:00.000Z,0
125 St - (ID: 27),EL125,STREET TO MEZZANINE,2018-04-02T19:52:00.000Z,2018-04-03T00:06:09.148Z,2018-04-03T04:00:00.000Z,4.235874444444444
Forest Hills - 71 Av - (ID: 69),EL438,MEZZANINE TO SOUTHBOUND PLATFORM,2018-04-02T00:50:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T09:00:00.000Z,21.190953055555553
96 St - (ID: 42),EL145,STREET TO DOWNTOWN PLATFORM,2018-04-02T00:28:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T09:00:00.000Z,21.55761972222222
Atlantic Av-Barclays Ctr - (ID: 8),EL303,MEZZANINE TO UPTOWN,2018-04-02T00:31:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T08:00:00.000Z,21.50761972222222
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-04-01T23:43:00.000Z,2018-04-02T01:34:10.246Z,2018-04-02T07:00:00.000Z,1.8528461111111112
125 St - (ID: 1),EL143,MEZZANINE AND DOWNTOWN,2018-04-01T23:20:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T08:00:00.000Z,22.690953055555553
Franklin Av - (ID: 31),EL340,UPTOWN PLATFORM TO 1ST LEVEL BRIDGE,2018-04-01T22:37:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T07:00:00.000Z,23.40761972222222
Coney Island Stillwell Av - (ID: 66),EL701,OVERPASS TO N PLATFORM,2018-04-01T21:42:00.000Z,2018-04-02T00:50:07.986Z,2018-04-02T06:00:00.000Z,3.1355516666666667
Fulton St - (ID: 13),EL719,LOWER MEZZANINE TO PLATFORM,2018-04-01T21:46:00.000Z,2018-04-02T00:54:07.660Z,2018-04-02T06:00:00.000Z,3.1354611111111113
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-04-01T20:45:00.000Z,2018-04-01T23:34:10.590Z,2018-04-02T05:00:00.000Z,2.8196083333333335
Junction Blvd - (ID: 73),EL425,STREET TO MEZZANINE & OVERPASS,2018-04-01T20:48:00.000Z,2018-04-01T22:53:10.886Z,2018-04-02T05:00:00.000Z,2.0863572222222224
42 St - Grand Central - (ID: 49),EL206,MEZZANINE TO UPTOWN 4/5/6 PLATFORM,2018-04-01T20:27:00.000Z,2018-04-01T23:41:09.626Z,2018-04-02T05:00:00.000Z,3.2360072222222223
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL450X,STREET TO TA MEZZANINE AND LIRR OVERPASS,2018-04-01T20:33:00.000Z,2018-04-02T22:01:27.431Z,2018-04-02T05:00:00.000Z,25.47428638888889
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-04-01T20:01:00.000Z,2018-04-02T01:55:09.863Z,2018-04-02T05:00:00.000Z,5.902739722222223
Pelham Bay Park - (ID: 94),EL122,CENTER ISLAND PLATFORM/ INTERMEDIATE-EMPLOYEE ONLY/ MEZZANINE,2018-04-01T19:33:00.000Z,2018-04-02T01:40:08.748Z,2018-04-02T04:00:00.000Z,6.119096666666667
181 St - (ID: 5),EL109,LOWER MEZZANINE TO UPPER MEZZANINE,2018-04-01T18:14:00.000Z,2018-04-01T20:35:10.123Z,2018-04-02T03:00:00.000Z,2.3528119444444444
42 St - Grand Central - (ID: 49),EL206,MEZZANINE TO UPTOWN 4/5/6 PLATFORM,2018-04-01T18:10:00.000Z,2018-04-01T19:17:09.082Z,2018-04-02T03:00:00.000Z,1.1191894444444443
96 St - (ID: 42),EL146,STREET TO UPTOWN PLATFORM,2018-04-01T16:55:00.000Z,2018-04-01T19:53:09.087Z,2018-04-02T01:00:00.000Z,2.9691908333333332
